center_x,center_y,cell_id,mat_id
4.16667,5,0, 0
12.5,5,1, 0
20.8333,5,2, 0
29.1667,5,3, 2
37.5,5,4, 1
45.8333,5,5, 1
54.1667,5,6, 2
62.5,5,7, 0
70.8333,5,8, 2
79.1667,5,9, 1
87.5,5,10, 1
95.8333,5,11, 2
4.16667,15,12, 0
12.5,15,13, 0
20.8333,15,14, 0
29.1667,15,15, 2
37.5,15,16, 1
45.8333,15,17, 1
54.1667,15,18, 2
62.5,15,19, 0
70.8333,15,20, 2
79.1667,15,21, 1
87.5,15,22, 1
95.8333,15,23, 2
4.16667,25,24, 0
12.5,25,25, 0
20.8333,25,26, 0
29.1667,25,27, 2
37.5,25,28, 1
45.8333,25,29, 1
54.1667,25,30, 2
62.5,25,31, 0
70.8333,25,32, 2
79.1667,25,33, 1
87.5,25,34, 1
95.8333,25,35, 2
